V (V)	I (A)
0	2.38275e-14
0.1	1.2954e-12
0.2	1.4829e-14
0.3	1.68933e-13
0.4	4.64968e-14
0.5	1.2779e-12
0.6	2.7953e-12
0.7	1.73683e-13
0.8	9.74159e-14
0.9	1.2378e-12
1	1.28171e-13
1.1	2.89252e-13
1.2	2.18454e-13
1.3	3.04819e-13
1.4	2.16188e-13
1.5	3.2454e-13
1.6	2.36353e-13
1.7	3.84541e-13
1.8	2.83932e-13
1.9	1.0423e-12
2	1.0069e-12
2.1	3.63211e-13
2.2	4.88142e-13
2.3	3.74915e-13
2.4	4.96672e-13
2.5	4.48958e-13
2.6	7.59218e-13
2.7	7.57207e-13
2.8	4.92753e-13
2.9	3.1368e-12
3	4.46859e-13
3.1	6.5513e-13
3.2	6.38824e-13
3.3	6.51669e-13
3.4	6.37343e-13
3.5	5.3655e-13
3.6	7.002e-13
3.7	6.7372e-13
3.8	8.74944e-13
3.9	7.0981e-07
4	6.98671e-07
4.1	9.2945e-07
4.2	1.2258e-06
4	6.07072e-07
3.9	7.58687e-07
3.8	6.6605e-07
3.7	6.25849e-07
3.6	6.41938e-07
3.5	5.90781e-07
3.4	5.80165e-07
3.3	4.939e-07
3.2	5.23436e-07
3.1	4.76026e-07
3	4.40845e-07
2.9	4.10869e-07
2.8	3.69499e-07
2.7	3.40901e-07
2.6	2.95267e-07
2.5	2.64541e-07
2.4	2.56144e-07
2.3	2.22142e-07
2.2	2.10766e-07
2.1	1.61563e-07
2	1.59462e-07
1.9	1.22005e-07
1.8	1.14125e-07
1.7	8.39525e-08
1.6	6.94846e-08
1.5	5.71352e-08
1.4	4.99214e-08
1.3	4.10095e-08
1.2	3.18916e-08
1.1	2.39835e-08
1	1.92987e-08
0.9	1.45404e-08
0.8	1.08343e-08
0.7	7.1718e-09
0.6	5.2896e-09
0.5	3.8287e-09
0.4	2.6511e-09
0.3	1.6378e-09
0.2	7.0895e-10
0.10001	1.29685e-10
5e-06	5.951e-12
-0.1	3.83306e-11
-0.2	2.24522e-10
-0.3	1.2402e-09
-0.4	3.5102e-09
-0.5	7.0267e-09
-0.6	1.15566e-08
-0.7	1.66936e-08
-0.8	2.21861e-08
-0.9	2.76821e-08
-1	3.31115e-08
-1.1	3.81258e-08
-1.2	4.39169e-08
-1.3	4.93194e-08
-1.4	5.46717e-08
-1.5	5.95729e-08
-1.6	6.60117e-08
-1.7	7.11436e-08
-1.8	7.7467e-08
-1.9	8.25107e-08
-2	8.81489e-08
-2.1	9.44093e-08
-2.2	1.00093e-07
-2.3	1.04734e-07
-2.4	1.11316e-07
-2.5	1.17905e-07
-2.6	1.24768e-07
-2.7	1.23188e-07
-2.8	1.27956e-07
-2.9	1.34467e-07
-3	1.62323e-07
-3.1	1.83772e-07
-3.2	1.82144e-07
-3.3	1.85916e-07
-3.4	1.83274e-07
-3.5	2.08922e-07
-3.6	2.17352e-07
-3.7	2.14585e-07
-3.8	2.32621e-07
-3.9	2.28317e-07
-4	2.42301e-07
-4	2.34581e-07
-3.9	2.36014e-07
-3.8	2.19809e-07
-3.7	1.75877e-07
-3.6	1.71262e-07
-3.5	1.66478e-07
-3.4	1.59781e-07
-3.3	1.54573e-07
-3.2	1.48644e-07
-3.1	1.44415e-07
-3	1.38039e-07
-2.9	1.30764e-07
-2.8	1.25408e-07
-2.7	4.97739e-08
-2.6	1.18076e-07
-2.5	1.03752e-07
-2.4	2.77337e-11
-2.3	3.8943e-12
-2.2	2.3724e-12
-2.1	7.47993e-13
-2	5.09127e-13
-1.9	4.02311e-13
-1.8	3.29448e-13
-1.7	2.02375e-13
-1.6	1.39307e-13
-1.5	1.2952e-12
-1.4	1.38913e-14
-1.3	1.06297e-13
-1.2	4.10782e-14
-1.1	2.36259e-14
-1	1.3465e-12
-0.9	6.91274e-14
-0.8	1.0306e-12
-0.7	6.82649e-14
-0.6	1.1499e-13
-0.5	2.33114e-14
-0.4	2.35236e-14
-0.3	4.57204e-14
-0.2	1.1773e-12
-0.1	2.13671e-14
5e-06	5.42848e-14
0.10001	8.36034e-14
0.2	4.45008e-14
0.3	9.7798e-14
0.4	2.1182e-13
0.5	1.78457e-13
0.6	2.26197e-13
0.7	6.74491e-13
0.8	9.94014e-13
0.9	1.0534e-12
1	5.76339e-13
1.1	3.24388e-13
1.2	9.44668e-13
1.3	7.30183e-13
1.4	6.25343e-13
1.5	3.51428e-13
1.6	7.05361e-13
1.7	8.58179e-13
1.8	7.90269e-13
1.9	4.41108e-13
2	4.88322e-13
2.1	8.63666e-13
2.2	7.95469e-13
2.3	5.95681e-13
2.4	4.8128e-13
2.5	1.87707e-13
2.6	6.86545e-13
2.7	2.71123e-07
2.8	3.09666e-07
2.9	1.80681e-07
3	1.12498e-07
3.1	1.22255e-07
3.2	9.51232e-08
